R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
78197.7500000034,default,0.5,4347.59,0,4347.59,4348.425,4348.63,F1,True,4071518.035,-97395.9999999966,-118467.2499999966,1767309300|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767310203.104,1767309300,1767310200.0,1767310200
2470616.0076530892,default,0.5,4351.38,0,4351.88,4378.82760313827,4378.57,F1,True,4075535.62,2499518.4999999627,2478447.2499999627,1767310200|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767349502.976,1767310200,1767311100.0,1767348900
363006.17061289406,default,0.5,4436.35,0,4436.85,4432.973799566334,4432.7,F1,True,4155110.0250000004,-388647.5000000511,-409718.7500000511,1767648600|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767650559.398,1767648600,1767649500.0,1767650400
861224.1706128669,default,0.5,4441.72,0,4442.17,4432.973799566334,4432.97,F1,True,4160092.205,-861579.999999983,-882651.249999983,1767650400|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767652407.164,1767650400,1767651300.0,1767652200
612115.1706128805,default,0.5,4439.01,0,4439.51,4449.303090416406,4448.58,F1,True,4157601.115,849405.4999999728,828334.2499999728,1767652200|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767682031.237,1767652200,1767653100.0,1767681900
3083987.1120945886,default,0.5,4470.76,0,4470.81,4469.854609798658,4470.0,F1,True,4186913.5650000004,75856.50000003747,54785.25000003747,1767736800|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767764217.631,1767736800,1767737700.0,1767763800
1033300.3692792539,default,0.5,4456.84,0,4457.49,4446.456360178545,4446.41,F1,True,4174439.385,-1037641.9999999931,-1058713.249999993,1767823200|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767825855.288,1767823200,1767824100.0,1767825000
130514.36927930836,default,0.5,4447.39,0,4447.85,4446.456360178545,4445.83,F1,True,4165411.5250000004,-189173.0000000409,-210244.2500000409,1767825000|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767825924.548,1767825000,1767825900.0,1767825900
217608.86927925044,default,0.5,4448.28,0,4448.78,4446.456360178545,4446.44,F1,True,4166282.47,-219141.00000001362,-240212.25000001362,1767825900|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767826830.874,1767825900,1767826800.0,1767826800
1929893.2781301027,default,0.5,4446.39,0,4446.2,4436.631526447649,4436.88,F1,True,4163866.3,872817.9999999728,851746.7499999728,1767826800|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767872866.787,1767826800,1767827700.0,1767872700
125865.81446466903,default,0.5,4459.15,0,4459.58,4458.235997709934,4458.04,F1,True,4176396.67,-144220.9999999966,-165292.2499999966,1767909600|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1767910610.839,1767909600,1767910500.0,1767910500
1954276.8613044254,default,0.5,4457.22,0,4457.22,4478.087878924767,4478.54,F1,True,4174186.53,-1996617.9999999728,-2017689.2499999728,1767910500|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1767949248.476,1767910500,1767911400.0,1767949200
2668948.1554504386,default,0.5,4615.3,0,4615.8,4618.143679220687,4617.77,F1,True,4322696.7,184490.50000002384,163419.25000002384,1768341600|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1768390796.576,1768341600,1768342500.0,1768390200
403446.25522465643,default,0.5,4616.67,0,4617.17,4612.861978054195,4612.46,F1,True,4323979.705,-441091.50000000343,-462162.75000000343,1768420800|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1768421894.274,1768420800,1768421700.0,1768421700
2938132.01267359,default,0.5,4609.0,0,4608.98,4615.722358440838,4615.81,F1,True,4316309.77,-639629.5000000783,-660700.7500000783,1768421700|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1768461875.687,1768421700,1768422600.0,1768461300
133954.0286287854,default,0.5,4600.06,0,4600.43,4598.999631301348,4598.49,F1,True,4308302.695,-181681.0000000477,-202752.2500000477,1768513500|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1768514400.992,1768513500,1768514400.0,1768514400
481395.52862878883,default,0.5,4603.65,0,4604.14,4598.999631301348,4598.94,F1,True,4311777.11,-486980.00000006816,-508051.25000006816,1768514400|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1768518025.509,1768514400,1768515300.0,1768518000
1870628.4260422257,default,0.5,4598.06,0,4597.75,4613.586599766163,4613.64,F1,True,4305792.875,-1488098.5000000307,-1509169.7500000307,1768518000|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1768531876.272,1768518000,1768518900.0,1768531500
207584.5681011836,default,0.5,4611.37,0,4611.37,4613.586599766163,4613.63,F1,True,4318548.005,-211649.00000002043,-232720.25000002043,1768531500|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1768552449.848,1768531500,1768532400.0,1768552200
1775176.5907434549,default,0.5,4659.42,0,4659.49,4677.063590310515,4677.52,F1,True,4363612.385,-1688509.5000000612,-1709580.7500000612,1768857300|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1768869607.576,1768857300,1768858200.0,1768869000
34986.732579756244,default,0.5,4676.69,0,4676.69,4677.063590310515,4677.19,F1,True,4379720.185,-46825.0,-67896.25,1768869000|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1768869900.092,1768869000,1768869900.0,1768869900
1749397.1794628906,default,0.5,4680.03,0,4680.53,4843.586913860349,4843.57,F1,True,4383316.345,15268695.999999996,15247624.749999996,1768869900|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1768968003.578,1768869900,1768870800.0,1768968000
6324366.196764449,default,0.5,4778.3,0,4778.13,4829.217621316048,4829.27,F1,True,4474718.745,-4789261.000000031,-4810332.250000031,1769028300|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1769052332.619,1769028300,1769029200.0,1769051700
356583.7362479351,default,0.5,4825.41,0,4825.41,4829.217621316048,4829.45,F1,True,4518996.465,-378345.99999999657,-399417.24999999657,1769051700|SHORT,EXIT_STLINE,False,SuperTrend-p14x3-M15,SHORT,S,0.5,1769054532.02,1769051700,1769052600.0,1769054400
7612346.672882517,default,0.5,5071.3,0,5072.01,5062.1783217273705,5061.68,F1,True,4749937.365,-967404.4999999931,-988475.7499999931,1769464800|LONG,EXIT_STLINE,False,SuperTrend-p14x3-M15,LONG,L,0.5,1769511941.798,1769464800,1769465700.0,1769511600
