R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
4455398.749999898,default,0.5,4450.43,0,4450.98,4463.08,4463.29,F1,False,4168342.7699999996,1152831.5000000375,1131760.2500000375,S7-TPNONE|F1|1767653100|LONG,EXIT_TRAIL,True,S7-TPNONE,LONG,L,0.5,1767667500,1767653100,1767654000.0,1767666600
4455398.749999898,default,0.5,4450.43,0,4450.98,4463.08,4463.29,F2,False,4168342.7699999996,1152831.5000000375,1131760.2500000375,S7-TPNONE|F2|1767653100|LONG,EXIT_TRAIL,True,S7-TPNONE,LONG,L,0.5,1767667500,1767653100,1767654000.0,1767666600
4455398.749999898,default,0.5,4450.43,0,4450.98,4463.08,4463.29,F3,False,4168342.7699999996,1152831.5000000375,1131760.2500000375,S7-TPNONE|F3|1767653100|LONG,EXIT_TRAIL,True,S7-TPNONE,LONG,L,0.5,1767667500,1767653100,1767654000.0,1767666600
8483753.500000013,default,0.5,4470.76,0,4470.81,4472.767939623006,4472.88,F1,True,4186913.5650000004,-193855.49999997276,-214926.74999997276,S7-TPNONE|F1|1767736800|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767741034.044,1767736800,1767737700.0,1767740400
8483753.500000013,default,0.5,4470.76,0,4470.81,4472.767939623006,4472.88,F2,True,4186913.5650000004,-193855.49999997276,-214926.74999997276,S7-TPNONE|F2|1767736800|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767741034.044,1767736800,1767737700.0,1767740400
8483753.500000013,default,0.5,4470.76,0,4470.81,4472.767939623006,4472.88,F3,True,4186913.5650000004,-193855.49999997276,-214926.74999997276,S7-TPNONE|F3|1767736800|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767741034.044,1767736800,1767737700.0,1767740400
1503550.7500001977,default,0.5,4474.68,0,4474.48,4454.742498687463,4454.76,F1,True,4190350.5199999996,1846777.9999999388,1825706.7499999388,S7-TPNONE|F1|1767746700|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767754800.079,1767746700,1767747600.0,1767754800
1503550.7500001977,default,0.5,4474.68,0,4474.48,4454.742498687463,4454.76,F2,True,4190350.5199999996,1846777.9999999388,1825706.7499999388,S7-TPNONE|F2|1767746700|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767754800.079,1767746700,1767747600.0,1767754800
1503550.7500001977,default,0.5,4474.68,0,4474.48,4454.742498687463,4454.76,F3,True,4190350.5199999996,1846777.9999999388,1825706.7499999388,S7-TPNONE|F3|1767746700|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767754800.079,1767746700,1767747600.0,1767754800
2376837.0000000102,default,0.5,4454.86,0,4454.87,4453.299804899329,4453.35,F1,True,4171985.755,142347.9999999557,121276.7499999557,S7-TPNONE|F1|1767755700|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767759696.126,1767755700,1767756600.0,1767759300
2376837.0000000102,default,0.5,4454.86,0,4454.87,4453.299804899329,4453.35,F2,True,4171985.755,142347.9999999557,121276.7499999557,S7-TPNONE|F2|1767755700|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767759696.126,1767755700,1767756600.0,1767759300
2376837.0000000102,default,0.5,4454.86,0,4454.87,4453.299804899329,4453.35,F3,True,4171985.755,142347.9999999557,121276.7499999557,S7-TPNONE|F3|1767755700|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767759696.126,1767755700,1767756600.0,1767759300
3631278.749999881,default,0.5,4435.53,0,4435.97,4428.439930802446,4428.42,F1,True,4154285.905,-707057.500000017,-728128.750000017,S7-TPNONE|F1|1767843000|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1767848475.971,1767843000,1767843900.0,1767848400
3631278.749999881,default,0.5,4435.53,0,4435.97,4428.439930802446,4428.42,F2,True,4154285.905,-707057.500000017,-728128.750000017,S7-TPNONE|F2|1767843000|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1767848475.971,1767843000,1767843900.0,1767848400
3631278.749999881,default,0.5,4435.53,0,4435.97,4428.439930802446,4428.42,F3,True,4154285.905,-707057.500000017,-728128.750000017,S7-TPNONE|F3|1767843000|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1767848475.971,1767843000,1767843900.0,1767848400
2372622.749999833,default,0.5,4464.06,0,4464.05,4466.805911584289,4467.03,F1,True,4180582.825,-279076.99999995914,-300148.24999995914,S7-TPNONE|F1|1767916800|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767925801.59,1767916800,1767917700.0,1767925800
2372622.749999833,default,0.5,4464.06,0,4464.05,4466.805911584289,4467.03,F2,True,4180582.825,-279076.99999995914,-300148.24999995914,S7-TPNONE|F2|1767916800|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767925801.59,1767916800,1767917700.0,1767925800
2372622.749999833,default,0.5,4464.06,0,4464.05,4466.805911584289,4467.03,F3,True,4180582.825,-279076.99999995914,-300148.24999995914,S7-TPNONE|F3|1767916800|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1767925801.59,1767916800,1767917700.0,1767925800
1290496.999999891,default,0.5,4572.26,0,4572.6,4572.127494890865,4572.1,F1,True,4282239.9,-46825.0,-67896.25,S7-TPNONE|F1|1768184100|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768187507.776,1768184100,1768185000.0,1768186800
1290496.999999891,default,0.5,4572.26,0,4572.6,4572.127494890865,4572.1,F2,True,4282239.9,-46825.0,-67896.25,S7-TPNONE|F2|1768184100|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768187507.776,1768184100,1768185000.0,1768186800
1290496.999999891,default,0.5,4572.26,0,4572.6,4572.127494890865,4572.1,F3,True,4282239.9,-46825.0,-67896.25,S7-TPNONE|F3|1768184100|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768187507.776,1768184100,1768185000.0,1768186800
4402954.750000031,default,0.5,4598.93,0,4599.68,4585.485464485997,4585.48,F1,True,4307600.32,-1329830.0000000682,-1350901.2500000682,S7-TPNONE|F1|1768250700|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768253871.897,1768250700,1768251600.0,1768253400
4402954.750000031,default,0.5,4598.93,0,4599.68,4585.485464485997,4585.48,F2,True,4307600.32,-1329830.0000000682,-1350901.2500000682,S7-TPNONE|F2|1768250700|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768253871.897,1768250700,1768251600.0,1768253400
4402954.750000031,default,0.5,4598.93,0,4599.68,4585.485464485997,4585.48,F3,True,4307600.32,-1329830.0000000682,-1350901.2500000682,S7-TPNONE|F3|1768250700|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768253871.897,1768250700,1768251600.0,1768253400
4607579.999999813,default,0.5,4581.59,0,4581.59,4589.895162155385,4589.92,F1,True,4290659.035,-780104.4999999931,-801175.7499999931,S7-TPNONE|F1|1768256100|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1768259256.817,1768256100,1768257000.0,1768258800
4607579.999999813,default,0.5,4581.59,0,4581.59,4589.895162155385,4589.92,F2,True,4290659.035,-780104.4999999931,-801175.7499999931,S7-TPNONE|F2|1768256100|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1768259256.817,1768256100,1768257000.0,1768258800
4607579.999999813,default,0.5,4581.59,0,4581.59,4589.895162155385,4589.92,F3,True,4290659.035,-780104.4999999931,-801175.7499999931,S7-TPNONE|F3|1768256100|SHORT,EXIT_SL_RAISED,False,S7-TPNONE,SHORT,S,0.5,1768259256.817,1768256100,1768257000.0,1768258800
2400717.750000191,default,0.5,4601.2,0,4601.68,4590.83424841009,4590.83,F1,True,4309473.32,-1016102.5000000341,-1037173.7500000341,S7-TPNONE|F1|1768270500|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768273217.24,1768270500,1768271400.0,1768273200
2400717.750000191,default,0.5,4601.2,0,4601.68,4590.83424841009,4590.83,F2,True,4309473.32,-1016102.5000000341,-1037173.7500000341,S7-TPNONE|F2|1768270500|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768273217.24,1768270500,1768271400.0,1768273200
2400717.750000191,default,0.5,4601.2,0,4601.68,4590.83424841009,4590.83,F3,True,4309473.32,-1016102.5000000341,-1037173.7500000341,S7-TPNONE|F3|1768270500|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768273217.24,1768270500,1768271400.0,1768273200
2573970.2500000545,default,0.5,4595.76,0,4596.26,4629.616915402366,4629.61,F1,True,4304397.49,3123227.499999949,3102156.249999949,S7-TPNONE|F1|1768334400|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768359360.202,1768334400,1768335300.0,1768358700
2573970.2500000545,default,0.5,4595.76,0,4596.26,4629.616915402366,4629.61,F2,True,4304397.49,3123227.499999949,3102156.249999949,S7-TPNONE|F2|1768334400|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768359360.202,1768334400,1768335300.0,1768358700
2573970.2500000545,default,0.5,4595.76,0,4596.26,4629.616915402366,4629.61,F3,True,4304397.49,3123227.499999949,3102156.249999949,S7-TPNONE|F3|1768334400|LONG,EXIT_SL_RAISED,False,S7-TPNONE,LONG,L,0.5,1768359360.202,1768334400,1768335300.0,1768358700
